Timestamp,Age,Industry,Job_title,Salary,Additional_compensation,Currency,Other_currency,Country,State,City,Overall_work_experience,Field_years_experience,Education,Gender,Race
2021-04-27T17:02:09.743Z,25-34,Education (Higher Education),Research and Instruction Librarian,55000,0,USD,,United States,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White
2021-04-27T17:02:21.562Z,25-34,Computing or Tech,Change & Internal Communications Manager,54600,4000,GBP,,United Kingdom,,Cambridge,8 - 10 years,5-7 years,College degree,Non-binary,White
2021-04-27T17:02:38.125Z,25-34,"Accounting, Banking & Finance",Marketing Specialist,34000,4000,USD,,United States,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:02:40.643Z,25-34,Nonprofits,Program Manager,62000,3000,USD,,United States,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T17:02:41.793Z,25-34,"Accounting, Banking & Finance",Accounting Manager,60000,7000,USD,,United States,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White
2021-04-27T17:02:45.571Z,25-34,Education (Higher Education),Scholarly Publishing Librarian,62000,7000,USD,,United States,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White
2021-04-27T17:02:50.507Z,25-34,Publishing,Publishing Assistant,33000,2000,USD,,United States,South Carolina,Columbia,2 - 4 years,2 - 4 years,College degree,Woman,White
2021-04-27T17:02:59.927Z,25-34,Education (Primary/Secondary),Librarian,50000,2000,USD,,United States,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White
2021-04-27T17:03:01.045Z,45-54,Computing or Tech,Systems Analyst,112000,10000,USD,,United States,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White
2021-04-27T17:03:01.699Z,35-44,"Accounting, Banking & Finance",Senior Accountant,45000,0,USD,,United States,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White"
2021-04-27T17:03:02.772Z,25-34,Nonprofits,Office Manager,47500,0,USD,,United States,Massachusetts,Boston,5-7 years,5-7 years,College degree,Woman,White
2021-04-27T17:03:07.255Z,35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000,0,USD,,United States,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White"
